지점,일시,평균기온(°C),일 최심신적설(cm),일 최심적설(cm)
108,2005-01-01,-4.9,,
108,2005-01-02,.4,,
108,2005-01-03,2.9,,
108,2005-01-04,-4.9,,
108,2005-01-05,-3.8,,
108,2005-01-06,.1,,
108,2005-01-07,-2.9,,
108,2005-01-08,-5,.2,.2
108,2005-01-09,-8,,
108,2005-01-10,-5.7,,
108,2005-01-11,-6.3,,
108,2005-01-12,-6.1,,
108,2005-01-13,-4.8,,
108,2005-01-14,-3.1,,
108,2005-01-15,-2.6,,
108,2005-01-16,-.8,.7,.7
108,2005-01-17,.4,,
108,2005-01-18,.3,.2,.2
108,2005-01-19,-3.8,,
108,2005-01-20,-5.9,,
108,2005-01-21,-5.4,,
108,2005-01-22,-2.2,,
108,2005-01-23,1.8,,
108,2005-01-24,1.3,,
108,2005-01-25,1.1,,
108,2005-01-26,1.6,,
108,2005-01-27,1.3,,
108,2005-01-28,2.1,,
108,2005-01-29,-.8,1.4,1.4
108,2005-01-30,-7,,
108,2005-01-31,-7.3,,
108,2005-02-01,-10.2,,
108,2005-02-02,-6.9,,
108,2005-02-03,-4.6,,
108,2005-02-04,-1.5,,
108,2005-02-05,-1.6,,
108,2005-02-06,-.1,,
108,2005-02-07,3.5,,
108,2005-02-08,1.7,,
108,2005-02-09,-1.4,,
108,2005-02-10,-6,,
108,2005-02-11,-6,,
108,2005-02-12,-4.1,,
108,2005-02-13,-1.6,,
108,2005-02-14,1.8,,
108,2005-02-15,4.6,,
108,2005-02-16,2.7,.4,.4
108,2005-02-17,4.7,,
108,2005-02-18,4,,
108,2005-02-19,-2.4,.2,.2
108,2005-02-20,-7.1,,
108,2005-02-21,-5.8,,
108,2005-02-22,-1,1.9,1.9
108,2005-02-23,-2.9,,
108,2005-02-24,-2.9,,
108,2005-02-25,-4.8,,
108,2005-02-26,-5,,
108,2005-02-27,-2.1,,
108,2005-02-28,.6,,
108,2005-03-01,-.3,,
108,2005-03-02,.3,4.9,4.9
108,2005-03-03,-1.3,,
108,2005-03-04,-.4,,
108,2005-03-05,-.9,,
108,2005-03-06,.5,,
108,2005-03-07,3.8,,
108,2005-03-08,4.2,,
108,2005-03-09,7.3,,
108,2005-03-10,8.4,,
108,2005-03-11,.7,,
108,2005-03-12,-3.9,,
108,2005-03-13,-1.2,,
108,2005-03-14,2.6,,
108,2005-03-15,4.5,,
108,2005-03-16,7.5,,
108,2005-03-17,5.9,,
108,2005-03-18,3.9,,
108,2005-03-19,4.3,,
108,2005-03-20,5.9,,
108,2005-03-21,7.1,,
108,2005-03-22,8.5,,
108,2005-03-23,8.7,,
108,2005-03-24,3,,
108,2005-03-25,3.1,,
108,2005-03-26,6.8,,
108,2005-03-27,10.5,,
108,2005-03-28,6.8,,
108,2005-03-29,5.6,,
108,2005-03-30,6.7,,
108,2005-03-31,9.5,,
108,2005-04-01,11.2,,
108,2005-04-02,10.4,,
108,2005-04-03,8.6,,
108,2005-04-04,9.3,,
108,2005-04-05,13.3,,
108,2005-04-06,13.8,,
108,2005-04-07,12.9,,
108,2005-04-08,14.9,,
108,2005-04-09,13.4,,
108,2005-04-10,12.4,,
108,2005-04-11,13.5,,
108,2005-04-12,11.2,,
108,2005-04-13,10.5,,
108,2005-04-14,9.9,,
108,2005-04-15,9.6,,
108,2005-04-16,10.8,,
108,2005-04-17,14.3,,
108,2005-04-18,15.2,,
108,2005-04-19,17.3,,
108,2005-04-20,10.3,,
108,2005-04-21,10.2,,
108,2005-04-22,11.6,,
108,2005-04-23,13.4,,
108,2005-04-24,14,,
108,2005-04-25,13.7,,
108,2005-04-26,14.9,,
108,2005-04-27,16,,
108,2005-04-28,17.5,,
108,2005-04-29,19.2,,
108,2005-04-30,23.5,,
108,2005-05-01,21,,
108,2005-05-02,19.5,,
108,2005-05-03,19.2,,
108,2005-05-04,20.1,,
108,2005-05-05,19.8,,
108,2005-05-06,11.6,,
108,2005-05-07,13.5,,
108,2005-05-08,13.4,,
108,2005-05-09,13.3,,
