기온(°C),계산된적설량(cm),day,time,day_time
-1.1142857142857139,0.021563342318059297,-7,0,-7일_0시
-1.3803234501347712,0.009433962264150943,-7,1,-7일_1시
-1.684366576819407,0.0,-7,2,-7일_2시
-1.9361185983827496,0.0,-7,3,-7일_3시
-2.1800539083557964,0.0,-7,4,-7일_4시
-2.434501347708895,0.0,-7,5,-7일_5시
-2.6501347708894882,0.0,-7,6,-7일_6시
-2.858760107816711,0.0,-7,7,-7일_7시
-2.7318059299191355,0.0,-7,8,-7일_8시
-1.7695417789757406,0.0,-7,9,-7일_9시
-0.41347708894878715,0.0,-7,10,-7일_10시
0.685175202156334,0.0,-7,11,-7일_11시
1.5654986522911047,0.0,-7,12,-7일_12시
2.3404312668463616,0.010781671159029648,-7,13,-7일_13시
2.825202156334231,0.006738544474393531,-7,14,-7일_14시
2.958670260557052,0.010781671159029648,-7,15,-7일_15시
2.7508086253369273,0.014824797843665768,-7,16,-7일_16시
2.068688230008984,0.008086253369272236,-7,17,-7일_17시
1.2923180592991914,0.006738544474393531,-7,18,-7일_18시
0.6613656783468104,0.012129380053908357,-7,19,-7일_19시
0.1269991015274039,0.013477088948787063,-7,20,-7일_20시
-0.344474393530997,0.005390835579514824,-7,21,-7일_21시
-0.7380053908355794,0.006738544474393531,-7,22,-7일_22시
-1.074393530997305,0.0,-7,23,-7일_23시
-1.3846361185983822,0.001347708894878706,-6,0,-6일_0시
-1.6234501347708898,0.029649595687331536,-6,1,-6일_1시
-1.9121293800539085,0.02830188679245283,-6,2,-6일_2시
-2.1571428571428575,0.008086253369272236,-6,3,-6일_3시
-2.478706199460917,0.0,-6,4,-6일_4시
-2.7436657681940693,0.0,-6,5,-6일_5시
-2.9609164420485174,0.0,-6,6,-6일_6시
-3.1691374663072778,0.0,-6,7,-6일_7시
-3.197574123989217,0.0,-6,8,-6일_8시
-2.2428571428571424,0.0,-6,9,-6일_9시
-0.8919137466307276,0.0,-6,10,-6일_10시
0.18221024258760077,0.002695417789757412,-6,11,-6일_11시
1.0678796046720573,0.0,-6,12,-6일_12시
1.8132524707996414,0.0,-6,13,-6일_13시
2.2966756513926323,0.011006289308176102,-6,14,-6일_14시
2.527133872416891,0.04559748427672956,-6,15,-6일_15시
2.360601976639712,0.12264150943396226,-6,16,-6일_16시
1.6681491464510334,0.19339622641509435,-6,17,-6일_17시
0.8897574123989216,0.1242138364779874,-6,18,-6일_18시
0.3804582210242587,0.025157232704402514,-6,19,-6일_19시
-0.08445642407906549,0.0,-6,20,-6일_20시
-0.4349955076370167,0.0,-6,21,-6일_21시
-0.7695417789757413,0.0,-6,22,-6일_22시
-1.118778077268644,0.0,-6,23,-6일_23시
