날짜,년,월,일,시간,구이름,잔설처리량,비고
2011-01-13,2011,1,13,1510,남부사업소,0.0,
2011-01-13,2011,1,13,1510,송파구,0.0,
2011-01-13,2011,1,13,1510,영등포구,0.0,
2011-01-13,2011,1,13,1510,금천구,0.0,
2011-01-13,2011,1,13,1510,강서구,0.0,
2011-01-13,2011,1,13,1510,동부사업소,0.0,
2011-01-13,2011,1,13,2100,중랑구,0.0,
2011-01-13,2011,1,13,2100,구로구,0.0,
2011-01-13,2011,1,13,2100,광진구,0.0,
2011-01-13,2011,1,13,2100,강동구,0.0,
2011-01-13,2011,1,13,2100,성동구,0.0,
2011-01-13,2011,1,13,2100,관악구,0.0,
2011-01-13,2011,1,13,2100,노원구,0.0,
2011-01-13,2011,1,13,2100,영등포구,0.0,
2011-01-13,2011,1,13,2100,서초구,0.0,
2011-01-13,2011,1,13,2100,성동사업소,0.0,
2011-01-13,2011,1,13,2100,북부사업소,0.0,
2011-01-14,2011,1,14,700,성북구,0.0,
2011-01-14,2011,1,14,700,성동구,0.0,
2011-01-14,2011,1,14,700,중랑구,0.0,
2011-01-14,2011,1,14,700,종로구,0.0,
2011-01-14,2011,1,14,700,강북구,0.0,
2011-01-14,2011,1,14,700,중구,0.0,
2011-01-14,2011,1,14,700,노원구,0.0,
2011-01-14,2011,1,14,700,구로구,0.0,
2011-01-14,2011,1,14,700,서초구,0.0,
2011-01-22,2011,1,22,600,금천구,0.0,
2011-01-22,2011,1,22,600,서부사업소,0.0,
2011-01-22,2011,1,22,600,구로구,0.0,
2011-01-22,2011,1,22,600,동부사업소,0.0,
2011-01-22,2011,1,22,600,동작구,0.0,
2011-01-22,2011,1,22,600,양천구,0.0,
2011-01-22,2011,1,22,600,성북구,0.0,
2011-01-22,2011,1,22,600,동대문구,0.0,
2011-01-22,2011,1,22,600,서대문구,0.0,
2011-01-22,2011,1,22,600,마포구,0.0,
2011-01-22,2011,1,22,900,남부사업소,0.0,
2011-01-22,2011,1,22,900,광진구,0.0,
2011-01-22,2011,1,22,900,강서사업소,0.0,
2011-01-22,2011,1,22,900,성북구,0.0,
2011-01-22,2011,1,22,900,도봉구,0.0,
2011-01-22,2011,1,22,900,중구,0.0,
2011-01-22,2011,1,22,900,성동사업소,0.0,
