날짜,년,월,일,시간,경보발령단계,경보발령제목,경보발령내용
2011-01-13,2011,1,13,1500,보강,제설대책 보강근무 지시 및 1단계 발령 예고,"  1. 2011.01.13(목) 14:00시 기상청 일기예보에 의하면 2011.01.13(목) 18시 이후 강수확률 30%, 기온 -2℃이며 금일 24시 이후 강수확률 60%, 기온 14℃, 예상 강설량 1~4cm 미만으로 예보되어 2011.01.13(목) 15:00부로 제설대책 보강근무를 발령하며, 금일 21:00부로 제설대책 1단계 근무 발령예정 이오니,

        	

         2. 각 제설기관에서는 퇴근시간 강설에 대비하여 제설차량에 제설제(소금 등)를 상차하고 한강교량 램프, 고가도로, 고갯길 등 취약지역에 17:00까지 사전배치 완료하여 강설시 초동 제설작업이 이루어 질 수 있도록 조치하여 주시기 바랍니다.  끝.



         ※ 제설현장관리시스템에 15:10까지 근무현황 입력바람 "
2011-01-22,2011,1,22,1200,발령해제,제설대책 보강근무 해제 및 1단계근무 발령 예고 알림,"      1. 2011.1.22(토) 11:00시 기상예보에 의하면 12:00 이후 강수확률 10%이하, 기온 -3.9℃로 예보되어 2011.01.22(토) 12:00시부로 제설대책 보강 근무를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며, 



          2. 2011.1.23(일) 03:00부터 강수확률 30%~70%로 강설이 예상되며 서해상의 기압골의 영향으로 갑자기 눈 구름이 형성되어 강설이 발생할 수 있으니 앞으로 발표되는 기상상황을 예의주시 바라며, 제설대책 평시 근무체계를 강화하여 강설대비에 철저를 기하고  금일 24:00시부로 제설대책 1단계근무 발령 예정임을 알려드립니다. 



          3. 아울러 금번 제설기간 동안 현재까지 29.5cm의 많은 눈이 내렸고 최근 이상 한파가 지속되어 도로측구, 보도, 뒷골목에 쌓인 눈이 녹지 않아 낙상사고 위험 등 시민 불편을 초래하고 있어 내일 예보된 강설이후 잔설을 일제 정비할 예정이니 각 제설기관에서는 내 집앞, 내 점포앞 눈치우기에 적극 홍보하여 주시고 공무원, 환경미화원, 직능단체, 자원봉사자등을 동원하여 정비할 수 있도록 대책을 마련하여 사전준비에 철저를 기하여 주시기 바랍니다.  끝.

"
2011-01-29,2011,1,29,300,보강,기상예보에 따른 제설대책 보강근무 지시,"          1. 2011.01.29(토) 02:00 현재 기상예보에 의하면 금일 06시 이후 강수확률 60%이상, 기온 -9℃, 예상적설량 오전 1cm 미만으로 예보되어 2011.01.29(토) 03:00부로 제설대책 보강 근무를 지시하니 각 제설기관에서는 단계근무요령에 따라 제설대책에 임하여 주시기 바라며,



          2. 강설즉시 램프, 언덕길 등 취약지점 및 대중교통 소통노선부터 우선 제설이 이루어 질수 있도록 조치하시기 바랍니다.  끝.  



  ※ 아울러 기관별 근무현황을 “제설현장관리시스템”에 입력 하여 주시기 바랍니다

"
2011-02-03,2011,2,3,300,보강,기상예보에 따른 제설대책 보강근무 지시,"          1. 2011.02.03(목) 02:00 기상예보에 의하면 2011.02.03(목) 06:00이후 서울지역 강설확률 30%, 기온 -2.0℃로 예보되어 2011.02.03(목) 03:00부로 제설대책 보강근무를 지시하니  각 제설기관 및 부서에서는 단계 기준에 맞게 제설작업 추진에 임하여 주시기 바랍니다.  끝.  





※ 아울러 기관별 근무현황을 “제설현장관리시스템”에 입력 하여 주시기 바랍니다



"
2011-02-03,2011,2,3,900,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 02. 03. 5:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만으로 2011-02-03 09:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-02-16,2011,2,16,2100,보강,제설대책 보강근무 지시,"             1. 2011. 02. 16. 17:00  기상청 일기예보에 따라 2011-02-16 21:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바랍니다.

             2. 또한 금일 제설근무 상황을 제설정보시스템 (2011-02-16)에 22:00까지 입력하시기 바랍니다.    끝."
2011-02-27,2011,2,27,800,발령해제,제설작업 근무 해제(평상시근무로 전환),"

         1. 2011.02.27(일) 05:00 기상청 일기예보에 의하면 금일 서울지역 강수확률 90%, 기온 영상 4~6℃로 예보되어 2011.02.27(일) 08:00시 부로 제설대책 보강근무를 해제하오니 각 제설기관에서는 평시근무 체제로 전환하여 상황근무에 철저를 기하시기 바라며,



         2. 금일 낮동안에도 10~24mm의 비가 내릴 것으로 예보되고 있으니 급경사지, 노후 축대？옹벽, 공사장 등 취약지역에 순찰 및 점검을 실시하여 안전사고가 발생하지 않도록 사전대비에 만전을 기하여 주시기 바랍니다.



         3. 아울러, 2011.02.27(일) 24:00시 이후 기온이 2℃, 예상강수량 1~4mm(적설량 1cm) 미만으로 예보되어 2011.02.27(일) 23:00부로 제설대책 보강근무 발령 예정임을 알려드리니 각 제설기관의 관련 직원이 비상 발령 즉시 응소할 수 있도록 조치하여 주시기 바랍니다.  끝."
2011-02-28,2011,2,28,900,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2011. 02. 28. 9:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 2℃ 이상으로 상승하여 2011-02-28 09:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2011-02-28,2011,2,28,2100,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2011. 02. 28. 17:00  기상청 일기예보에 따라 2011-02-28 21:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (2011-02-28)에 21:00까지 입력하시기 바랍니다.    끝."
2011-12-20,2011,12,20,1800,보강,제설대책 보강근무 지시,"             1. 2011. 12. 20. 17:00  기상청 일기예보에 따라 2011-12-20 18:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설현장관리시스템에 20:00까지 입력하시기 바랍니다.    끝."
2011-12-22,2011,12,22,0,발령해제,제설대책 보강근무 해제,"             1. 2011. 12. 21 23:00  기상청 일기예보에 의하면  서울지방 강수확률은 20% 미만이며 기온이 1℃로 2011-12-22 00:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.

             2. 특히 내일아침 기온이 영하 5도로 내려가 결빙이 우려되니 취약지역을 순찰하여 출근길 시민불편이 없도록 조치바랍니다.    끝."
2011-12-23,2011,12,23,1800,1단계,제설대책 1단계근무 상향지시,"1. 2011.12.23(금) 17:00현재 기상청 예보에 의하면 금일 18:00이후 기온 -3℃, 강수확률 30%로 예보되고 있으며, 금일 21:00이후 예상강설량이 1~4cm로 예보되어 2011.12.23(금) 18:00부로 제설대책 1단계 비상근무를 발령하니,

2. 각 제설기관 및 관련부서에서는 퇴근시간 강설에 대비하여 제설차량에 제설제(염수, 소금 등)를 상차하여 주시고 서해안 지역에 설치된 제설화상시스템에 강설 포착 즉시 한강상 교량램프, 고가도로, 고갯길 등 취약지역에 제설제 사전살포 작업을 시행할 수 있도록 인력, 장비, 자재배치 등 사전준비에 만전을 기하여 주시기 바랍니다. 

○ 지 시 사 항

가. 도로결빙대비 취약지점 순찰 강화 

나. 강설 발생시 초동제설 실시

다. 강설화상정보시스템 및 일기예보 확인 철저. 끝. "
2011-12-24,2011,12,24,600,보강,제설대책 1단계 근무 해제 및 보강근무 전환,"             1. 2011. 12. 24. 05:00  기상청 일기예보에 따라 2011-12-24 06:00부로 제설대책 1단계 근무를 해제 하며 보강 근무를 전환 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 횡단보도 주변, 지하철 출입구, 보도, 이면도로 등 취약구간에 순찰을 실시하여 결빙예상 지역에 대한 제설제 살포 등 제설작업을 시행항 시민불편이 없도록 조치 바랍니다.    끝."
2011-12-24,2011,12,24,1130,발령해제,제설대책 보강근무 해제(평상시근무로 전환)," 1. 금일 11:00 기상청 일기예보에 의하면 12:00 이후 서울지방 강수확률 0%, 기온 -3℃로 예보되어 2011.12.24(일) 12:00시 부로 제설대책 보강근무를 해제하니

     각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,

 2. 기온이 계속적으로 영하의 날씨가 예상되므로 노면 결빙이 우려되는 지역은 특별순찰을 실시하여 시민통행에 불편이 없도록 조치하여 주시기 바라며,

     제설작업이 미흡한 이면도로나 보도에 대하여는 직능단체 및 자원봉사자 등을 동원하여 잔설작업을 마무리하여 주시기 바랍니다.  끝."
2011-12-31,2011,12,31,1500,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2011. 12. 31. 14:00  기상청 일기예보에 따라 2011-12-31 15:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설현장관리시스템 17:00까지 입력하시기 바랍니다.    끝."
