일시,지역,차량통행속도
2017-01,종로구,24
2017-02,종로구,23.3
2017-03,종로구,23.7
2017-04,종로구,23.5
2017-05,종로구,23.6
2017-06,종로구,23.3
2017-07,종로구,23.1
2017-08,종로구,22.9
2017-09,종로구,22
2017-10,종로구,22.7
2017-11,종로구,21.8
2017-12,종로구,22.5
2017-01,중구,20.7
2017-02,중구,19.8
2017-03,중구,19.9
2017-04,중구,20.1
2017-05,중구,20.6
2017-06,중구,20.2
2017-07,중구,20.1
2017-08,중구,20
2017-09,중구,19
2017-10,중구,20.2
2017-11,중구,18.6
2017-12,중구,19.3
2017-01,용산구,28
2017-02,용산구,27.3
2017-03,용산구,27.9
2017-04,용산구,27.1
2017-05,용산구,27.5
2017-06,용산구,27
2017-07,용산구,26.4
2017-08,용산구,26.5
2017-09,용산구,25.8
2017-10,용산구,27.6
2017-11,용산구,26.1
2017-12,용산구,26.3
2017-01,성동구,26.1
2017-02,성동구,25.7
2017-03,성동구,26.1
2017-04,성동구,25.8
2017-05,성동구,26.2
2017-06,성동구,25.7
2017-07,성동구,25.2
2017-08,성동구,25.5
2017-09,성동구,24.4
2017-10,성동구,25.9
2017-11,성동구,24.7
2017-12,성동구,24.9
2017-01,광진구,25.6
2017-02,광진구,25.6
2017-03,광진구,26.1
2017-04,광진구,25.7
2017-05,광진구,26.2
2017-06,광진구,25.9
2017-07,광진구,25.2
2017-08,광진구,25
2017-09,광진구,24.4
2017-10,광진구,26
2017-11,광진구,24.9
2017-12,광진구,25.2
2017-01,동대문구,24.1
2017-02,동대문구,24.2
2017-03,동대문구,24.5
2017-04,동대문구,24.3
2017-05,동대문구,24.5
2017-06,동대문구,24.2
2017-07,동대문구,23.7
2017-08,동대문구,23.9
2017-09,동대문구,23.2
2017-10,동대문구,24.4
2017-11,동대문구,23.8
2017-12,동대문구,23.7
2017-01,중랑구,23.5
2017-02,중랑구,23.6
2017-03,중랑구,23.5
2017-04,중랑구,23.2
2017-05,중랑구,23.3
2017-06,중랑구,23.3
2017-07,중랑구,22.6
2017-08,중랑구,22.8
2017-09,중랑구,22.1
2017-10,중랑구,23
2017-11,중랑구,22.4
2017-12,중랑구,22.4
2017-01,성북구,25.3
2017-02,성북구,25.1
2017-03,성북구,25.4
2017-04,성북구,24.9
2017-05,성북구,24.6
2017-06,성북구,24.5
2017-07,성북구,24.1
2017-08,성북구,24.5
2017-09,성북구,24
2017-10,성북구,25.1
2017-11,성북구,24.1
2017-12,성북구,24.3
2017-01,강북구,20.9
2017-02,강북구,21.3
2017-03,강북구,21.3
2017-04,강북구,21
2017-05,강북구,20.9
2017-06,강북구,20.8
2017-07,강북구,20.4
2017-08,강북구,20.8
2017-09,강북구,20.8
