년도,월,지역,차량통행속도
17,1,종로구,24
17,2,종로구,23.3
17,3,종로구,23.7
17,4,종로구,23.5
17,5,종로구,23.6
17,6,종로구,23.3
17,7,종로구,23.1
17,8,종로구,22.9
17,9,종로구,22
17,10,종로구,22.7
17,11,종로구,21.8
17,12,종로구,22.5
17,1,중구,20.7
17,2,중구,19.8
17,3,중구,19.9
17,4,중구,20.1
17,5,중구,20.6
17,6,중구,20.2
17,7,중구,20.1
17,8,중구,20
17,9,중구,19
17,10,중구,20.2
17,11,중구,18.6
17,12,중구,19.3
17,1,용산구,28
17,2,용산구,27.3
17,3,용산구,27.9
17,4,용산구,27.1
17,5,용산구,27.5
17,6,용산구,27
17,7,용산구,26.4
17,8,용산구,26.5
17,9,용산구,25.8
17,10,용산구,27.6
17,11,용산구,26.1
17,12,용산구,26.3
17,1,성동구,26.1
17,2,성동구,25.7
17,3,성동구,26.1
17,4,성동구,25.8
17,5,성동구,26.2
17,6,성동구,25.7
17,7,성동구,25.2
17,8,성동구,25.5
17,9,성동구,24.4
17,10,성동구,25.9
17,11,성동구,24.7
17,12,성동구,24.9
17,1,광진구,25.6
17,2,광진구,25.6
17,3,광진구,26.1
17,4,광진구,25.7
17,5,광진구,26.2
17,6,광진구,25.9
17,7,광진구,25.2
17,8,광진구,25
17,9,광진구,24.4
17,10,광진구,26
17,11,광진구,24.9
17,12,광진구,25.2
17,1,동대문구,24.1
17,2,동대문구,24.2
17,3,동대문구,24.5
17,4,동대문구,24.3
17,5,동대문구,24.5
17,6,동대문구,24.2
17,7,동대문구,23.7
17,8,동대문구,23.9
17,9,동대문구,23.2
17,10,동대문구,24.4
17,11,동대문구,23.8
17,12,동대문구,23.7
17,1,중랑구,23.5
17,2,중랑구,23.6
17,3,중랑구,23.5
17,4,중랑구,23.2
17,5,중랑구,23.3
17,6,중랑구,23.3
17,7,중랑구,22.6
17,8,중랑구,22.8
17,9,중랑구,22.1
17,10,중랑구,23
17,11,중랑구,22.4
17,12,중랑구,22.4
17,1,성북구,25.3
17,2,성북구,25.1
17,3,성북구,25.4
17,4,성북구,24.9
17,5,성북구,24.6
17,6,성북구,24.5
17,7,성북구,24.1
